attack_type,target_system,outcome,timestamp,attacker_ip,target_ip,data_compromised_GB,attack_duration_min,security_tools_used,user_role,location,attack_severity,industry,response_time_min,mitigation_method
Ransomware,Web Server,Failure,2024-06-04 20:05:45.086887,109.97.88.38,75.205.33.96,56.61,113,MFA,Contractor,Australia,5,Technology,69,Patch
Malware,User Account,Failure,2024-08-13 16:26:40.086890,141.220.172.235,197.213.157.200,54.63,184,MFA,Contractor,Brazil,3,Finance,23,Quarantine
Malware,User Account,Failure,2024-04-25 06:38:42.086893,142.8.131.216,113.122.110.58,14.38,46,Antivirus,External User,Canada,7,Energy,142,Block IP
Cross-Site Scripting,User Account,Success,2023-12-06 00:43:07.086896,17.63.205.17,85.242.105.94,97.39,4,WAF,External User,Germany,1,Government,114,Quarantine
Zero-Day Exploit,Database,Failure,2024-04-06 06:15:33.086898,63.167.213.77,208.254.77.115,7.41,216,Endpoint Detection,Contractor,Russia,5,Technology,96,Reset Credentials
Malware,IoT Device,Failure,2024-07-21 15:23:19.086901,98.25.237.175,62.80.89.225,39.72,41,Endpoint Detection,Contractor,Russia,1,Government,93,Reset Credentials
Brute Force,User Account,Success,2023-12-07 22:36:13.086904,139.216.65.193,75.204.15.188,14.74,134,Endpoint Detection,Contractor,China,9,Finance,15,Quarantine
SQL Injection,User Account,Success,2024-05-22 19:00:51.086907,23.77.167.210,183.164.31.94,53.73,254,Endpoint Detection,Employee,Russia,3,Manufacturing,146,Patch
Malware,Email Server,Failure,2024-03-13 23:52:31.086910,215.203.180.223,108.246.15.132,37.36,260,MFA,Employee,Russia,2,Government,178,Reset Credentials
Cross-Site Scripting,Cloud Service,Success,2024-03-12 15:59:49.086913,60.142.241.130,106.35.83.216,15.42,163,Endpoint Detection,Employee,Russia,7,Finance,162,Block IP
Ransomware,Email Server,Success,2023-10-31 16:06:15.086915,244.26.65.250,62.144.156.18,81.05,289,Antivirus,Employee,UK,9,Finance,10,Quarantine
Zero-Day Exploit,API,Failure,2023-10-08 20:47:17.086919,254.131.89.120,254.255.155.110,44.2,113,IDS,Admin,Brazil,9,Retail,39,Quarantine
Brute Force,Email Server,Success,2024-05-12 23:33:48.086922,87.105.55.133,39.35.35.216,76.52,98,VPN,Admin,India,9,Finance,146,Block IP
Malware,IoT Device,Failure,2023-09-30 12:40:58.086924,24.50.198.91,54.48.27.222,14.16,226,MFA,Employee,India,10,Technology,115,Block IP
SQL Injection,Cloud Service,Failure,2024-02-20 05:45:06.086927,140.31.208.233,222.225.60.57,53.92,133,WAF,Admin,Germany,9,Education,32,Quarantine
Ransomware,Cloud Service,Failure,2024-05-29 15:52:01.086930,154.143.116.226,168.34.244.205,33.3,245,Antivirus,Contractor,Brazil,5,Retail,141,Patch
DDoS,Email Server,Failure,2024-03-20 18:09:17.086933,156.200.193.20,184.195.9.156,12.93,279,Endpoint Detection,Employee,Canada,10,Finance,133,Patch
Brute Force,Cloud Service,Success,2024-03-22 07:00:54.086938,29.119.126.173,17.113.179.35,16.99,64,SIEM,Contractor,Canada,7,Finance,92,Reset Credentials
Brute Force,Database,Failure,2024-04-11 21:22:39.086941,24.189.63.210,21.247.34.200,62.3,22,Antivirus,Contractor,Germany,6,Government,179,Block IP
Cross-Site Scripting,Database,Failure,2024-04-05 11:12:19.086943,204.187.16.184,109.247.94.137,21.42,105,MFA,Employee,Brazil,9,Technology,93,Reset Credentials
SQL Injection,Email Server,Success,2023-12-15 14:58:54.086946,33.182.110.106,221.250.60.164,92.87,202,IDS,Contractor,Russia,2,Energy,173,Quarantine
SQL Injection,Cloud Service,Failure,2024-03-22 05:19:20.086949,204.57.153.115,62.19.144.254,79.3,51,WAF,External User,USA,7,Education,1,Quarantine
Ransomware,Cloud Service,Success,2024-05-24 15:44:16.086952,74.13.166.218,9.3.180.74,9.21,201,Antivirus,External User,Canada,4,Government,3,Reset Credentials
Phishing,User Account,Failure,2023-09-19 00:26:06.086955,251.166.126.154,65.239.143.140,64.11,211,WAF,Employee,UK,6,Manufacturing,13,Patch
DDoS,User Account,Failure,2024-05-09 04:53:47.086958,109.32.98.222,15.50.106.220,27.52,53,Firewall,External User,Russia,10,Education,15,Containment
Cross-Site Scripting,User Account,Success,2024-03-31 05:02:39.086960,77.115.50.210,38.70.116.202,43.26,284,VPN,Employee,India,2,Government,54,Containment
Malware,User Account,Failure,2024-07-04 03:00:20.086963,191.52.124.87,216.138.49.88,31.73,139,Endpoint Detection,Employee,France,1,Finance,157,Quarantine
Cross-Site Scripting,Cloud Service,Failure,2024-05-19 05:46:52.086966,32.97.159.68,18.172.56.225,85.39,91,WAF,External User,Australia,10,Energy,150,Block IP
Brute Force,IoT Device,Success,2023-09-06 11:54:33.086969,161.138.146.122,76.208.253.170,69.27,170,SIEM,External User,Brazil,3,Technology,62,Containment
DDoS,Email Server,Failure,2024-03-31 14:16:10.086972,215.109.129.114,14.189.47.116,81.39,236,Firewall,External User,China,2,Manufacturing,70,Reset Credentials
Ransomware,Cloud Service,Success,2023-09-17 18:24:58.086974,40.123.165.218,71.47.25.69,48.59,112,MFA,Contractor,Canada,6,Finance,180,Quarantine
Ransomware,API,Failure,2024-06-20 08:48:17.086977,31.53.50.182,64.214.10.39,35.07,3,SIEM,Admin,USA,10,Retail,120,Patch
Phishing,Network Switch,Success,2024-01-28 13:22:12.086980,210.22.23.42,132.152.208.174,33.05,58,IDS,Admin,Australia,4,Healthcare,118,Quarantine
Ransomware,Network Switch,Success,2024-07-05 08:56:56.086983,186.140.235.208,175.1.132.185,78.49,187,Antivirus,Employee,Russia,3,Technology,121,Block IP
Ransomware,IoT Device,Success,2024-06-24 11:27:48.086987,53.217.203.249,208.12.158.147,68.86,268,VPN,Employee,Canada,2,Education,132,Reset Credentials
SQL Injection,Web Server,Failure,2024-04-26 23:05:56.086992,83.228.72.145,96.225.99.186,69.03,121,MFA,External User,Germany,10,Energy,144,Block IP
Malware,Web Server,Success,2024-01-19 00:12:50.086997,127.32.19.81,64.156.75.196,15.93,79,SIEM,Admin,USA,2,Healthcare,134,Patch
Ransomware,Email Server,Success,2023-11-12 05:52:29.087003,138.9.59.153,112.81.72.178,31.26,239,Endpoint Detection,External User,Australia,6,Energy,160,Quarantine
Malware,Web Server,Failure,2023-12-14 00:37:11.087008,86.9.97.121,192.148.247.133,77.32,149,MFA,External User,Australia,7,Healthcare,162,Block IP
DDoS,Database,Failure,2024-08-01 17:14:37.087013,60.137.42.115,252.17.94.116,28.34,132,WAF,Contractor,Australia,4,Healthcare,146,Quarantine
Malware,API,Failure,2023-10-12 20:54:40.087018,179.69.0.157,169.99.176.185,97.84,14,Antivirus,Employee,USA,6,Finance,143,Quarantine
Zero-Day Exploit,Database,Success,2024-02-13 04:19:30.087023,170.43.248.164,15.50.167.195,53.9,111,WAF,Contractor,USA,3,Finance,56,Quarantine
Phishing,Cloud Service,Success,2024-06-16 15:48:29.087028,61.233.15.84,190.209.82.62,24.52,159,IDS,Contractor,UK,5,Technology,67,Patch
Brute Force,Email Server,Success,2024-07-15 12:51:15.087034,244.177.96.169,240.135.37.232,2.93,108,MFA,Employee,UK,6,Manufacturing,33,Patch
Ransomware,Email Server,Failure,2024-02-10 08:59:34.087039,226.79.96.11,122.186.193.138,40.54,164,MFA,External User,Australia,8,Healthcare,142,Block IP
Phishing,Database,Success,2024-06-01 01:50:54.087044,104.198.212.39,13.193.1.187,37.0,108,Antivirus,Contractor,France,6,Energy,17,Patch
Cross-Site Scripting,IoT Device,Failure,2024-08-09 21:23:02.087049,155.138.72.198,236.35.241.55,78.31,212,Endpoint Detection,External User,China,7,Manufacturing,151,Quarantine
DDoS,User Account,Failure,2023-11-02 19:25:12.087054,251.143.53.104,154.184.18.115,79.05,67,SIEM,Employee,Brazil,1,Manufacturing,159,Patch
Phishing,IoT Device,Failure,2024-03-26 22:58:52.087059,212.200.164.87,94.192.112.57,25.96,46,WAF,External User,Russia,10,Technology,65,Quarantine
Cross-Site Scripting,Network Switch,Failure,2024-06-20 05:01:33.087065,179.104.115.18,203.52.49.245,87.43,274,MFA,Admin,Canada,3,Finance,124,Quarantine
Zero-Day Exploit,Network Switch,Success,2023-10-03 07:53:35.087071,155.215.75.177,96.249.254.113,2.6,245,SIEM,Contractor,China,1,Retail,32,Reset Credentials
Cross-Site Scripting,IoT Device,Success,2023-11-01 15:22:46.087077,211.184.174.139,224.139.90.7,15.91,204,IDS,Contractor,India,2,Government,138,Reset Credentials
Cross-Site Scripting,Cloud Service,Failure,2024-05-18 23:17:09.087081,17.197.134.66,62.17.142.224,2.54,257,Firewall,Employee,China,9,Healthcare,115,Quarantine
Cross-Site Scripting,Email Server,Success,2024-08-20 15:31:49.087086,129.74.211.91,135.99.41.85,44.68,248,MFA,Employee,Germany,6,Retail,116,Containment
Zero-Day Exploit,IoT Device,Failure,2024-08-25 07:56:08.087091,46.158.194.102,55.141.211.41,83.57,223,MFA,External User,France,6,Manufacturing,179,Quarantine
DDoS,Web Server,Success,2023-10-05 03:21:48.087097,37.255.30.167,228.7.82.126,49.23,125,Endpoint Detection,Employee,Canada,1,Finance,100,Quarantine
Zero-Day Exploit,User Account,Failure,2024-01-30 08:43:26.087102,114.241.5.196,58.71.200.229,97.4,37,Antivirus,Contractor,Russia,1,Finance,40,Block IP
Malware,Network Switch,Success,2024-04-07 07:30:24.087106,90.127.173.39,39.12.228.89,90.06,115,IDS,Contractor,USA,1,Government,123,Containment
Zero-Day Exploit,Cloud Service,Failure,2024-01-06 12:31:32.087109,86.81.84.203,217.225.242.40,86.66,282,WAF,Employee,France,9,Government,107,Patch
Cross-Site Scripting,Email Server,Success,2024-04-08 12:50:18.087111,102.153.171.183,244.219.65.154,61.32,47,SIEM,Admin,India,4,Retail,130,Containment
Brute Force,API,Success,2024-06-28 09:51:15.087114,112.64.109.195,30.187.90.85,58.9,259,SIEM,External User,France,6,Education,74,Quarantine
Phishing,User Account,Failure,2024-01-30 01:27:39.087117,222.83.25.102,76.87.217.83,39.54,52,VPN,Admin,China,10,Healthcare,66,Patch
Phishing,Network Switch,Success,2024-03-07 14:22:34.087120,65.13.196.28,254.192.148.105,30.16,275,MFA,Contractor,Brazil,4,Government,145,Reset Credentials
SQL Injection,User Account,Failure,2023-12-19 15:34:36.087123,170.11.156.38,98.74.27.233,57.05,196,WAF,Contractor,USA,10,Government,89,Block IP
DDoS,IoT Device,Failure,2023-12-29 02:54:20.087126,144.69.97.196,5.187.222.164,15.54,63,SIEM,Employee,Russia,9,Finance,109,Patch
SQL Injection,IoT Device,Failure,2023-10-28 04:34:24.087129,145.66.140.99,83.62.3.225,77.37,38,MFA,Admin,USA,7,Government,180,Reset Credentials
Phishing,Database,Success,2024-06-05 15:23:55.087132,235.251.76.64,95.213.174.198,32.34,265,SIEM,External User,India,7,Government,121,Containment
Malware,Web Server,Success,2023-10-26 04:02:10.087135,173.190.61.173,64.150.108.201,66.46,5,SIEM,External User,India,6,Government,55,Quarantine
Cross-Site Scripting,Email Server,Failure,2024-02-02 06:43:15.087137,4.145.196.143,66.212.255.124,28.94,288,Firewall,Contractor,France,4,Technology,115,Block IP
Phishing,Database,Success,2024-03-05 12:36:15.087140,35.208.57.101,13.62.59.226,75.66,79,WAF,External User,UK,6,Healthcare,106,Reset Credentials
Ransomware,Database,Failure,2024-03-06 05:56:47.087143,29.48.73.174,214.37.150.76,99.52,108,Firewall,Admin,Australia,8,Energy,134,Patch
Malware,Email Server,Failure,2024-02-20 03:55:50.087146,158.80.222.159,204.34.226.86,82.08,15,VPN,External User,Brazil,10,Technology,117,Patch
Brute Force,Cloud Service,Failure,2024-01-05 23:02:29.087149,160.110.196.63,103.163.85.210,33.45,101,WAF,Employee,Brazil,5,Energy,7,Block IP
SQL Injection,Cloud Service,Success,2024-03-25 03:45:24.087152,72.23.227.48,142.183.26.213,55.58,212,MFA,Employee,Australia,7,Retail,179,Containment
DDoS,IoT Device,Success,2023-10-29 03:13:11.087155,94.74.38.114,173.221.34.38,22.23,268,VPN,Employee,China,7,Government,148,Quarantine
Phishing,API,Success,2024-08-13 14:32:18.087158,140.64.26.7,37.175.203.127,30.88,222,WAF,Employee,Germany,5,Healthcare,135,Patch
SQL Injection,Cloud Service,Failure,2024-03-04 15:29:29.087160,146.21.90.94,58.8.252.172,57.75,190,Endpoint Detection,External User,Canada,10,Retail,139,Patch
SQL Injection,Database,Failure,2024-05-29 13:44:57.087163,247.247.78.138,106.10.13.43,39.75,157,IDS,External User,Canada,8,Healthcare,150,Reset Credentials
Phishing,Network Switch,Success,2024-08-25 15:13:28.087166,108.125.195.199,82.227.108.28,74.55,95,Antivirus,Admin,USA,9,Technology,151,Patch
Malware,Network Switch,Failure,2024-07-05 01:05:36.087169,88.84.254.190,172.188.251.53,78.08,14,Antivirus,Admin,Brazil,3,Finance,55,Patch
SQL Injection,IoT Device,Failure,2023-10-18 04:30:13.087171,103.91.148.153,19.169.166.237,48.89,73,IDS,Employee,Brazil,7,Government,112,Reset Credentials
Cross-Site Scripting,Email Server,Failure,2023-10-01 10:59:36.087174,246.135.69.32,196.106.137.202,4.45,165,Antivirus,External User,UK,5,Retail,176,Quarantine
DDoS,Network Switch,Success,2024-07-23 00:45:44.087177,48.13.138.108,114.126.155.26,7.58,98,IDS,Contractor,Germany,1,Healthcare,90,Quarantine
Zero-Day Exploit,Network Switch,Success,2023-09-21 14:36:42.087180,97.169.58.141,170.241.180.185,27.99,42,IDS,Contractor,Germany,8,Healthcare,10,Containment
Malware,Cloud Service,Failure,2024-01-09 21:05:24.087183,145.212.231.96,224.71.123.244,10.24,264,Endpoint Detection,Contractor,India,8,Energy,78,Reset Credentials
Ransomware,API,Failure,2023-10-13 10:39:41.087186,238.187.30.248,170.145.232.170,31.56,127,Firewall,Admin,Brazil,6,Technology,137,Quarantine
Brute Force,Email Server,Failure,2023-10-12 23:46:55.087189,161.112.54.193,210.238.115.199,33.51,149,Antivirus,Admin,China,7,Technology,155,Block IP
Cross-Site Scripting,User Account,Success,2024-01-17 17:05:24.087192,48.218.6.44,193.215.203.238,33.33,188,Antivirus,Admin,China,2,Energy,119,Quarantine
SQL Injection,User Account,Success,2023-09-11 04:21:36.087195,141.210.106.146,51.87.131.103,52.72,15,SIEM,Admin,China,7,Healthcare,20,Containment
Malware,User Account,Success,2024-08-12 13:58:00.087198,23.180.14.149,139.48.228.234,19.14,82,VPN,Admin,Australia,8,Finance,180,Containment
Phishing,Cloud Service,Success,2023-10-15 03:52:38.087201,39.4.218.123,61.27.205.98,9.19,134,WAF,Contractor,USA,10,Manufacturing,48,Reset Credentials
Malware,Cloud Service,Failure,2023-11-05 02:33:57.087204,250.249.139.56,91.97.249.87,51.1,18,Antivirus,Contractor,Germany,3,Government,175,Patch
Phishing,Email Server,Success,2024-08-12 19:53:32.087206,104.219.163.145,214.116.68.129,51.78,241,Antivirus,External User,Australia,10,Education,60,Containment
Ransomware,IoT Device,Success,2023-10-26 19:59:52.087209,181.198.212.240,109.2.116.254,46.66,237,SIEM,Contractor,Russia,5,Retail,145,Quarantine
Phishing,Database,Success,2024-02-28 18:16:25.087216,41.226.15.188,51.88.53.80,30.38,194,IDS,External User,Canada,4,Finance,30,Reset Credentials
Cross-Site Scripting,IoT Device,Failure,2023-09-13 12:28:25.087219,220.75.114.91,249.255.81.30,92.2,81,Antivirus,Admin,UK,10,Education,13,Block IP
Phishing,Network Switch,Failure,2024-08-25 02:58:45.087222,191.199.212.69,132.34.178.34,23.37,102,IDS,External User,Germany,9,Finance,2,Containment
Brute Force,Cloud Service,Success,2023-11-14 02:47:03.087225,66.208.90.2,181.58.196.228,19.52,265,Firewall,Contractor,Canada,7,Retail,39,Patch
Zero-Day Exploit,Cloud Service,Failure,2024-05-24 13:52:09.087228,78.198.99.57,239.177.140.141,75.26,12,VPN,Contractor,India,9,Finance,145,Quarantine
SQL Injection,Email Server,Success,2024-08-15 09:24:35.087231,203.78.233.246,140.240.42.125,28.08,229,Endpoint Detection,Admin,Australia,10,Manufacturing,9,Reset Credentials
Ransomware,Email Server,Success,2024-07-06 07:52:19.087234,174.134.95.133,45.192.245.133,38.47,89,IDS,Employee,China,9,Energy,53,Quarantine
SQL Injection,IoT Device,Failure,2024-05-17 14:04:08.087237,98.244.61.104,176.68.64.40,2.03,132,Firewall,Admin,Germany,5,Energy,51,Quarantine
Malware,Email Server,Failure,2024-03-27 05:09:40.087240,14.67.35.111,170.92.230.190,67.77,86,VPN,Contractor,Australia,4,Retail,173,Patch
Malware,Network Switch,Failure,2024-04-15 10:11:54.087242,140.103.33.116,104.106.63.254,34.12,182,WAF,External User,Russia,9,Healthcare,45,Quarantine
Phishing,Database,Success,2024-08-13 23:54:28.087245,28.27.184.199,97.107.197.226,24.6,80,Antivirus,Contractor,China,7,Technology,121,Block IP
Cross-Site Scripting,Email Server,Success,2023-09-16 00:53:47.087248,67.212.125.154,217.34.231.51,79.23,179,WAF,Contractor,China,7,Education,4,Quarantine
Zero-Day Exploit,Web Server,Success,2024-06-30 20:56:08.087251,9.113.177.83,61.99.251.115,47.38,52,SIEM,Admin,Australia,1,Government,156,Block IP
Phishing,IoT Device,Success,2023-12-05 18:38:12.087254,148.207.79.167,24.231.11.69,29.87,59,IDS,External User,India,3,Finance,27,Quarantine
SQL Injection,Network Switch,Success,2023-11-05 20:45:23.087257,45.197.104.180,228.7.220.194,45.46,249,SIEM,Employee,USA,7,Education,163,Containment
Brute Force,Cloud Service,Failure,2023-11-02 18:08:38.087260,3.227.149.39,40.70.255.166,22.13,131,Firewall,Contractor,UK,9,Education,63,Reset Credentials
Zero-Day Exploit,Web Server,Failure,2024-05-21 11:29:19.087262,199.60.13.122,14.109.235.116,39.66,226,Antivirus,Contractor,Canada,6,Finance,149,Quarantine
DDoS,IoT Device,Success,2024-05-17 04:10:56.087265,141.4.216.188,131.194.103.122,34.49,10,Antivirus,Contractor,India,7,Manufacturing,90,Containment
SQL Injection,IoT Device,Failure,2024-05-01 16:03:42.087268,54.212.162.192,251.198.88.122,25.68,299,MFA,Contractor,Brazil,2,Finance,145,Containment
Ransomware,Web Server,Success,2024-03-22 19:43:40.087271,143.199.105.133,48.166.170.180,32.24,182,Firewall,External User,China,4,Education,62,Quarantine
Malware,User Account,Success,2023-09-27 16:16:13.087274,68.93.254.47,63.24.55.238,57.39,58,Firewall,Employee,France,10,Finance,141,Block IP
Ransomware,Cloud Service,Success,2023-12-29 04:02:05.087277,71.94.28.140,16.66.207.0,76.65,15,MFA,Contractor,Brazil,1,Energy,74,Patch
Phishing,User Account,Failure,2024-07-11 04:42:16.087279,114.47.183.157,143.100.228.101,11.09,263,Firewall,External User,France,4,Healthcare,96,Quarantine
Ransomware,Cloud Service,Success,2023-11-02 22:06:44.087282,204.5.2.23,92.170.115.179,46.21,119,Endpoint Detection,Contractor,France,2,Retail,76,Containment
Cross-Site Scripting,Cloud Service,Success,2024-04-21 07:34:31.087285,159.67.115.54,33.241.42.19,1.65,295,VPN,Contractor,Australia,2,Technology,71,Containment
Ransomware,Network Switch,Failure,2023-10-03 05:26:48.087288,60.184.202.209,31.252.75.129,57.62,270,Antivirus,External User,India,4,Energy,109,Reset Credentials
SQL Injection,Web Server,Success,2024-05-15 12:55:21.087291,132.15.55.185,61.133.58.28,31.58,131,MFA,External User,Germany,5,Manufacturing,32,Quarantine
Zero-Day Exploit,Network Switch,Failure,2024-06-07 11:03:38.087293,6.225.61.231,145.107.182.152,25.46,86,WAF,Admin,UK,8,Healthcare,75,Quarantine
Ransomware,IoT Device,Success,2024-03-21 02:23:13.087296,86.214.66.250,132.101.44.223,89.69,204,VPN,Contractor,Australia,1,Energy,170,Quarantine
Ransomware,Database,Failure,2024-09-04 17:15:30.087299,2.210.54.53,216.162.14.124,86.22,100,VPN,Admin,India,7,Healthcare,110,Containment
Cross-Site Scripting,Database,Success,2023-12-24 13:24:02.087302,249.108.125.187,32.61.3.32,70.77,294,VPN,Employee,India,8,Energy,146,Reset Credentials
Ransomware,Web Server,Failure,2023-12-02 07:10:31.087305,193.193.0.137,172.150.90.102,26.43,287,WAF,External User,Brazil,9,Healthcare,9,Block IP
SQL Injection,Network Switch,Success,2024-05-15 22:02:31.087308,129.3.229.248,29.35.113.197,1.48,93,IDS,Employee,Brazil,2,Retail,34,Quarantine
Zero-Day Exploit,Web Server,Failure,2023-10-12 21:59:32.087311,153.205.87.89,254.211.85.208,9.37,46,MFA,Contractor,China,2,Finance,102,Containment
DDoS,IoT Device,Success,2024-08-18 17:52:12.087313,11.95.101.210,100.37.7.77,65.15,10,Endpoint Detection,Admin,Germany,1,Education,65,Containment
Brute Force,Web Server,Failure,2023-12-15 21:09:27.087317,103.136.5.7,45.1.254.245,93.75,71,MFA,Contractor,Australia,4,Healthcare,143,Quarantine
SQL Injection,IoT Device,Failure,2024-07-02 00:01:31.087322,85.31.140.167,34.70.164.231,3.99,150,SIEM,Admin,Australia,9,Technology,17,Reset Credentials
Phishing,API,Failure,2024-07-02 06:20:40.087327,223.57.170.0,111.42.207.67,33.54,86,VPN,Contractor,Brazil,7,Government,141,Quarantine
